Date,Title,Author1,Genre1,Length,Rating,CountTotal,Count90,Count00,Count10,Count20,Genre,Author,Books
2014,Gone Girl,Gillian Flynn,Mystery,415,4.13,,,,,,,,
2014,The Fault in Our Stars,John Green,Young Adult,313,4.14,,,,,,,,
2014,The Fault in Our Stars ,John Green,Young Adult,313,4.14,,,,,,,,
2014,Frozen,Victoria Saxon,Humor,24,4.17,,,,,,,,
2015,Go Set a Watchman,Harper Lee,Classics,278,3.31,,,,,,,,
2015,Grey,E. L. James,Romance,576,3.82,,,,,,,,
2015,The Girl on the Train,Paula Hawkins,Mystery,336,3.96,,,,,,,,
2015,All the Light We Cannot See,Anthony Doerr,Historical Fiction,531,4.32,,,,,,,,
2015,The Martian,Andy Weir,Sci-Fi,384,4.42,,,,,,,,
2015,Rogue Lawyer,John Grisham,Mystery,344,3.79,,,,,,,,
2015,To Kill a Mockingbird,Harper Lee,Classics,323,4.26,,,,,,,,
2015,See Me,Nicholas Sparks,Romance,482,4,,,,,,,,
2015,Gray Mountain,John Grisham,Mystery,368,3.66,,,,,,,,
2015,The Nightingale,Kristin Hannah,Historical Fiction,440,4.62,,,,,,,,
2016,The Girl on the Train,Paula Hawkins,Mystery,336,3.96,,,,,,,,
2016,A Man Called Ove,Fredrik Backman,Fiction,337,4.38,,,,,,,,
2016,The Whistler,John Grisham,Mystery,470,3.96,,,,,,,,
2016,Me Before You,Jojo Moyes,Romance,369,4.26,,,,,,,,
2016,Me Before You ,Jojo Moyes,Romance,369,4.26,,,,,,,,
2016,Two By Two,Nicholas Sparks,Romance,486,3.95,,,,,,,,
2016,The Girl on the Train,Paula Hawkins,Mystery,336,3.96,,,,,,,,
2016,To Kill a Mockingbird,Harper Lee,Classics,323,4.26,,,,,,,,
2016,Me Before You,Jojo Moyes,Romance,369,4.26,,,,,,,,
2016,All the Light We Cannot See,Anthony Doerr,Historical Fiction,531,4.32,,,,,,,,
2017,Wonder,R.J. Palacio,Young Adult,315,4.37,,,,,,,,
2017,Milk and Honey,Rupi Kaur,Poetry,204,3.98,,,,,,,,
2017,Diary of a Wimpy Kid: The Getaway,Jeff Kinney,Humor,224,4.35,,,,,,,,
2017,Origin,Dan Brown,Thriller,482,3.89,,,,,,,,
2017,You Are a Badass,Jen Sincero,Self Help,254,3.95,,,,,,,,
2017,A Man Called Ove,Fredrik Backman,Fiction,337,4.38,,,,,,,,
2017,"Oh, the Places You'll Go!",Dr. Seuss,Humor,44,4.36,,,,,,,,
2017,The Woman in Cabin 10,Ruth Ware,Mystery,341,3.73,,,,,,,,
2017,The Rooster Bar,John Grisham,Mystery,352,3.65,,,,,,,,
2017,Camino Island,John Grisham,Mystery,290,3.8,,,,,,,,
2018,Diary of a Wimpy Kid: The Meltdown,Jeff Kinney,Humor,218,4.34,,,,,,,,
2018,The Wonky Donkey,Craig Smith,Humor,24,4.44,,,,,,,,
2018,Dog Man and Cat Kid,Dav Pilkey,Humor,256,4.5,,,,,,,,
2018,The President Is Missing,James Patterson,Thriller,513,3.85,,,,,,,,
2018,Dog Man,Dav Pilkey,Humor,231,4.14,,,,,,,,
2018,A Wrinkle in Time,Madeleine L’Engle,Young Adult,218,3.98,,,,,,,,
2018,Crazy Rich Asians,Kevin Kwan,Romance,403,3.9,,,,,,,,
2018,The Reckoning,John Grisham,Mystery,420,3.74,,,,,,,,
2018,A Day in the Life of Marlon Bundo,Jill Twiss,Humor,35,4.64,,,,,,,,
2018,"Oh, the Places You'll Go!",Dr. Seuss,Humor,44,4.36,,,,,,,,
2019,Where the Crawdads Sing,Delia Owens,Historical Fiction,384,4.39,,,,,,,,
2019,Dog Man: For Whom the Ball Rolls,Dav Pilkey,Humor,240,4.54,,,,,,,,
2019,Diary of a Wimpy Kid: Wrecking Ball,Jeff Kinney,Humor,224,4.36,,,,,,,,
2019,Dog Man: Brawl of the Wild,Dav Pilkey,Humor,224,4.52,,,,,,,,
2019,Diary of an Awesome Friendly Kid,Jeff Kinney,Humor,224,3.99,,,,,,,,
2019,The Tattooist of Auschwitz,Heather Morris,Historical Fiction,272,4.3,,,,,,,,
2019,Dog Man: Fetch 22,Dav Pilkey,Humor,240,4.54,,,,,,,,
2019,The Guardians,John Grisham,Mystery,370,4.14,,,,,,,,
2019,The Institute,Stephen King,Horror,561,4.2,,,,,,,,
2019,Guts,Raina Telgemeier,Young Adult,144,4.32,,,,,,,,
2020,Midnight Sun,Stephenie Meyer,Young Adult,756,3.73,,,,,,,,
2020,Dog Man: Grime and Punishment,Dav Pilkey,Humor,240,4.54,,,,,,,,
2020,The Ballad of Songbirds and Snakes,Suzanne Collins,Young Adult,541,3.95,,,,,,,,
2020,Where the Crawdads Sing,Delia Owens,Historical Fiction,384,4.39,,,,,,,,
2020,Diary of a Wimpy Kid: The Deep End,Jeff Kinney,Humor,226,4.33,,,,,,,,
2020,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Poetry,128,4.56,,,,,,,,
2020,The Very Hungry Caterpillar,Eric Carle,Humor,26,4.33,,,,,,,,
2020,Dog Man: Fetch-22,Dav Pilkey,Humor,240,4.54,,,,,,,,
2020,Little Fires Everywhere,Celeste Ng,Fiction,338,4.08,,,,,,,,
2020,If Animals Kissed Good Night,Ann Whitford Paul,Humor,32,4.31,,,,,,,,
2021,Dog Man: Mothering Heights,Dav Pilkey,Humor,224,4.53,,,,,,,,
2021,Diary of a Wimpy Kid: Big Shot,Jeff Kinney,Humor,226,4.22,,,,,,,,
2021,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Poetry,128,4.56,,,,,,,,
2021,It Ends with Us,Colleen Hoover,Romance,386,4.16,,,,,,,,
2021,The Very Hungry Caterpillar,Eric Carle,Humor,26,4.33,,,,,,,,
2021,"Oh, the Places You'll Go!",Dr. Seuss,Humor,44,4.36,,,,,,,,
2021,The Four Winds,Kristin Hannah,Historical Fiction,464,4.3,,,,,,,,
2021,They Both Die at the End,Adam Silvera,Young Adult,389,3.77,,,,,,,,
2021,The Song of Achilles,Madeline Miller,Historical Fiction,408,4.33,,,,,,,,
2021,The Midnight Library,Matt Haig,Sci-Fi,288,4,,,,,,,,
2022,It Ends with Us,Colleen Hoover,Romance,386,4.16,,,,,,,,
2022,Verity,Colleen Hoover,Romance,336,4.32,,,,,,,,
2022,It Starts with Us,Colleen Hoover,Romance,323,3.87,,,,,,,,
2022,Where the Crawdads Sing,Delia Owens,Historical Fiction,384,4.39,,,,,,,,
2022,Ugly Love,Colleen Hoover,Romance,333,4.05,,,,,,,,
2022,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,389,4.42,,,,,,,,
2022,Reminders of Him,Colleen Hoover,Romance,335,4.38,,,,,,,,
2022,9-Nov,Colleen Hoover,Romance,310,4.14,,,,,,,,
2022,Diary of a Wimpy Kid: Diper Överlöde,Jeff Kinney,Humor,224,4.08,,,,,,,,
2022,The Very Hungry Caterpillar,Eric Carle,Humor,26,4.33,,,,,,,,
2023,It Ends with Us,Colleen Hoover,Romance,386,4.16,,,,,,,,
2023,It Starts with Us,Colleen Hoover,Romance,323,3.87,,,,,,,,
2023,Fourth Wing,Rebecca Yarros,Fantasy,498,4.59,,,,,,,,
2023,Atomic Habits,James Clear,Self Help,319,4.35,,,,,,,,
2023,Dog Man: Twenty Thousand Fleas Under the Sea,Dav Pilkey,Humor,240,4.49,,,,,,,,
2023,Iron Flame,Rebecca Yarros,Fantasy,640,4.35,,,,,,,,
2023,Lessons in Chemistry,Bonnie Garmus,Historical Fiction,404,4.3,,,,,,,,
2023,Verity,Colleen Hoover,Romance,336,4.32,,,,,,,,
2023,A Court of Thorns and Roses,Sarah J. Maas,Young Adult,419,4.19,,,,,,,,
2023,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,389,4.42,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
